Date,Open,High,Low,Close,Adj Close,Volume
2022-10-11,180.03,182.47,178.52,179.79,174.89,4419100.0
2022-10-10,182.9,183.2,179.69,180.95,176.02,4304000.0
2022-10-07,185.69,185.83,181.46,182.4,177.43,4780100.0
2022-10-06,188.88,190.46,187.44,187.77,182.65,3784100.0
2022-10-05,187.91,190.69,186.36,189.58,184.42,4548100.0
2022-10-04,187.19,190.07,187.14,189.94,184.77,6212800.0
2022-10-03,181.52,185.02,180.23,184.03,179.02,7321600.0
2022-09-30,181.56,183.71,179.28,179.47,174.58,8431700.0
2022-09-29,184.24,184.31,180.31,181.94,176.98,8241100.0
2022-09-28,182.55,186.7,181.7,185.8,180.74,6929100.0
2022-09-27,184.21,185.4,180.67,181.97,177.01,6910700.0
2022-09-26,183.5,185.48,181.62,182.24,177.28,6603500.0
2022-09-23,185.53,185.87,181.82,184.26,179.24,8249900.0
2022-09-22,190.11,190.51,187.97,188.29,182.39,5279700.0
2022-09-21,194.64,196.41,190.4,190.42,184.45,3060200.0
2022-09-20,194.43,194.75,192.29,193.73,187.66,3244200.0
2022-09-19,192.9,196.08,192.86,196.01,189.86,3346700.0
2022-09-16,194.47,194.86,192.82,194.63,188.53,4966100.0
2022-09-15,197.86,199.37,195.69,196.42,190.26,2491000.0
2022-09-14,198.42,199.2,196.75,198.54,192.31,2793400.0
2022-09-13,201.97,202.55,197.15,197.77,191.57,5190300.0
2022-09-12,205.53,206.99,205.32,206.65,200.17,2736900.0
2022-09-09,202.38,204.85,202.32,204.45,198.04,2953400.0
2022-09-08,198.34,201.18,197.71,201.11,194.8,2971300.0
2022-09-07,195.73,199.94,195.64,199.53,193.27,3032400.0
2022-09-06,197.47,197.67,194.73,195.91,189.77,5382900.0
2022-09-02,200.65,201.36,195.83,196.71,190.54,3810400.0
2022-09-01,197.4,198.89,195.53,198.68,192.45,4555800.0
2022-08-31,200.95,201.56,198.5,198.56,192.33,2911400.0
2022-08-30,202.94,203.13,198.9,200.03,193.76,4799400.0
2022-08-29,202.2,203.95,201.62,202.28,195.94,3529100.0
2022-08-26,210.86,210.92,203.7,203.77,197.38,3550200.0
2022-08-25,208.6,210.82,208.13,210.75,204.14,1874100.0
2022-08-24,206.84,208.52,206.43,207.74,201.23,1790900.0
2022-08-23,207.36,208.58,206.65,206.87,200.38,2856400.0
2022-08-22,209.08,209.44,206.82,207.26,200.76,3142900.0
2022-08-19,213.36,213.47,211.23,211.79,205.15,2555000.0
2022-08-18,214.33,215.28,213.7,214.86,208.12,1640200.0
2022-08-17,214.39,215.78,213.16,214.3,207.58,4007900.0
2022-08-16,215.41,217.2,214.59,216.24,209.46,2835600.0
2022-08-15,213.84,216.08,213.69,215.78,209.01,4479200.0
2022-08-12,212.43,214.99,211.87,214.94,208.2,2366500.0
2022-08-11,212.82,214.04,210.92,211.28,204.66,2835000.0
2022-08-10,210.29,211.42,209.54,211.27,204.65,2878200.0
2022-08-09,207.44,207.57,205.97,206.56,200.08,1829500.0
2022-08-08,208.62,210.17,207.27,207.87,201.35,3024200.0
2022-08-05,205.69,208.08,205.5,207.68,201.17,2758900.0
2022-08-04,207.94,208.25,206.92,207.75,201.24,2261800.0
2022-08-03,205.92,208.53,205.74,207.95,201.43,2827100.0
2022-08-02,205.0,207.04,203.88,204.66,198.24,3020900.0
2022-08-01,204.97,207.04,204.29,205.77,199.32,3531500.0
2022-07-29,204.17,206.78,203.6,206.25,199.78,3342400.0
2022-07-28,201.02,203.73,199.33,203.48,197.1,2670700.0
2022-07-27,197.51,201.72,197.31,200.86,194.56,2902200.0
